Nombre,Institucion.Evento,Lugar,Fecha,anio,Tipo,Cantidad,Rol,Links
5 LatinR <- Conferencia Latinoamericana de R en Investigación y Desarrollo,Profesionales,R-Ladies- RConsortium- RFoundation,On-Line,2022,Conference,900,Chair,
Introducción al análisis de datos con lenguaje R.,Bolsa de Cereales de Bahía Blanca,On-Line,Mayo-Junio 2022,2022,Course,21,Teacher,
Introducción a la programación con R,Bolsa de Cereales de Buenos Aires,On-line (Argentina),5-12-19-26/04 y 03-10/05/2022,2022,Course,18,Teacher,
Datos Masivos en el sector Agropecuario,Diploma en nuevas tecnologías en el agro,Universidad de la Empresa (Uruguay),11 y 11 de Junio de 2022,2022,Course,12,Teacher,
Instructor trainer (how to teach computing skill to scientists).,The Carpentries,On-Line (Latinoamerica),10-12-17-19 y 26/05/2022,2022,Course,18,Teacher,
rOpenSci. Ciencia abierta reproducible,Seminarios INTA-PAE,On-Line,02/12/2022,2022,Invited Talk,23,Speaker,
Creating fulfilling volunteer opportunities in open source software communities,CSCCE Community Call,On-Line,16/11/2022,2022,Panel,40,Speaker,
rOpenSci. Bringing the best parts of academic peer-review to research software,Notebook Now! ,Hybrid Workshop (Global),04/11/2022,2022,Invited Talk,50,Speaker,
I’ve got a little black Notebook with my code in | Tengo una pequeña notebook negra con mi código en ella,Notebook Now! ,Hybrid Workshop (Global),03/11/2022,2022,Keynote,50,Speaker,
Champions Program,rOpenSci Co-working Sessions,rOpenSci,1/11/2022,2022,Lightning talk,15,Organizer,
Mentoring & training program for Scientific Open Source Champions,rOpenSci Community Calls,rOpenSci,24/10/2022,2022,Panel,30,Speaker,
Data Science: aprendiendo a agegar valor a los datos,Diplomatura en AgroAnalytics.,UCES,20/10/2022,2022,Course,25,Teacher,
rOpenSci. Open Source Software Community,Abuja RUG Meetup,Online (Africa),18/10/2022,2022,Invited Talk,34,Speaker,
Agricultura inteligente,Diplomatura en AgroAnalytics.,Universidad Austral de Rosario,15/10/2022,2022,Course,40,Teacher,
10 reglas para organizar un Club de Lectura (on-line) exitoso,LatinR 2022,On-Line (Latin America),14/10/2022,2022,Lightning talk,900,Speaker,
Cómo ganarse la vida enseñando R,LatinR 2022,On-Line (Latin America),14/10/2022,2022,Regular Talk,900,Speaker,
Sistema de consulta de datos e información agrometeorológica y agroclimática para la provincia de La Pampa,LatinR 2022,On-Line (Latin America),13/10/2022,2022,Regular Talk,900,Speaker,
rOpenSci: infraestructura para una ciencia abierta en Agrometeorología,Reunión Argentina de Agrometerología 2022 ,On-Line (Latin America),30/09/2022,2022,Keynote,500,Speaker,
Panel de GitHub Stars de habla hispana,Octogatos 2022,Online (Global),15/09/2022,2022,Panel,1000,Speaker,
Intro al sensoramiento Remoto utilizando R aplicado al agro,Bolsa de Cereales de Buenos Aires. Universidad de Maryland,Bolsa de Cereales de Buenos Aires,12/09/2022,2022,Course,45,Teacher,
Teaching with R,rOpenSci Co-working Sessions,rOpenSci,septiembre 2022,2022,Lightning talk,15,Organizer,
From Excel to R,R-Ladies Gaborone,Online (Africa),13/08/2022,2022,Invited Talk,50,Speaker,
Collaborative translations,CarpentryCon 2022,Online (Global),09/08/2022,2022,Panel,32,Speaker,
Towards More Equitable Open Science Events: Assessing Tools Techniques and Frameworks for Inclusion/Exclusions,Event Fund Seminar Series for grantees and CS&S affiliates,Online (Global),09/08/2022,2022,Invited Talk,23,Speaker,
rOpenSci.Convertite en una campeona del desarrollo de paquetes de R,RenBaires Meetup,Online (Latin America),09/08/2022,2022,Invited Talk,25,Speaker,
Logrando el cambio que queremos de a una conferencia a la vez | Achieving the change we want one conference at a time,CarpentryCon 2022,Online (Global),01/08/2022,2022,Keynote,100,Speaker,
Como Carpentries me ayudó a diseñar una lección online para 300 estudiantes | How The Carpentries helped me design an online lesson for 300 students,CarpentryCon 2022,Online (Global),31/07/2022,2022,Lightning talk,67,Speaker,
Geotecnologías BigData Aprendizaje automático y emergencias agropecuarias,Seminario de Aplicación al Ambito público - Maestría en Ciencia de Datos - Univ. de San Andrés,Online (Argentina),06/07/2022,2022,Invited Talk,23,Speaker,
useR! 2022. The R Global Conference.,RFoundation/( Vanderbilt University),On-Line,julio 2022,2022,Conference,1500,Organizer,
Comunidades de práctica. Desarrollando capacidades en ciencia de datos en América Latina,Women in Data Science La Plata 2022,Online (Argentina),10/06/2022,2022,Keynote,100,Speaker,
Creando y usando tutoriales interactivos con {learnr},SER - International Seminar on Statistics with R,On-line(Brasil),25/05/2022,2022,Keynote,200,Speaker,
Creating interactive tutorials using {learnr} and {gradethis},The R User Group at the Harvard Data Science Initiative,Online (USA),19/05/2022,2022,Invited Talk,25,Speaker,
Desde hojas de cálculo a R,Software Sustenaibility Institute,On-Line (UK),17/05/2022,2022,Course,30,Teacher,
Lo que todo el mundo en Ciencia de Datos debe saber sobre enseñar y aprender,Women In Data Science 2022 – Buenos Aires /FIUBA,On-Line (Argentina),12/05/2022,2022,Invited Talk,80,Speaker,
Generando Tutoriales interactivos usando {learnr} y {gradethis},R-Ladies Buenos Aires y MetaDocencia,On-Line,11/05/2022,2022,Course,8,Teacher,
"Club de Lectura ""Enseñando Tecnología en Comunidad"". Las Reglas. Introducción. ¿Por qué enseño?",MetaDocencia,On-Line,03/05/2022,2022,Book Club,30,Organizer,
"Club de Lectura ""Enseñando Tecnología en Comunidad"". Construyendo una comunidad de práctica. Difusión y vinculación. Reuniones reuniones reuniones",MetaDocencia,On-Line,26/04/2022,2022,Book Club,30,Organizer,
Generando Tutoriales interactivos usando {learnr} y {gradethis},R-Ladies Santa Rosa-R-Ladies Resistencia-Corrientes y MetaDocencia,On-Line,23/04/2022,2022,Course,8,Teacher,
"Club de Lectura ""Enseñando Tecnología en Comunidad"". En el salón de clase. Enseñar en línea",MetaDocencia,On-Line,19/04/2022,2022,Book Club,30,Organizer,
"Club de Lectura ""Enseñando Tecnología en Comunidad"". Un proceso para diseñar lecciones. Motivación y desmotivación",MetaDocencia,On-Line,12/04/2022,2022,Book Club,30,Organizer,
"Club de Lectura ""Enseñando Tecnología en Comunidad"". Conocimiento de la pedagogía del contenido. Enseñar como un arte performativo",MetaDocencia,On-Line,05/04/2022,2022,Book Club,30,Organizer,
"Club de Lectura ""Enseñando Tecnología en Comunidad"". Arquitectura cognitiva. Aprendizaje Individual",MetaDocencia,On-Line,29/03/2022,2022,Book Club,30,Organizer,
Intro to {learnr} R package,R-Ladies,On-line (Johannesburgo),29/03/2022,2022,Course,27,Teacher,
"Club de Lectura ""Enseñando Tecnología en Comunidad"". Pericia y memoria. Ejemplos de mapas conceptuales",MetaDocencia,On-Line,22/03/2022,2022,Book Club,30,Organizer,
What Everyone In Data Science Should Know About Teaching And Learning,16th Brazilian Meeting of Bayesian Statistics and VI Latin American Conference on Statistical Computing,On-Line,16/03/2022,2022,Keynote,100,Speaker,
"Club de Lectura ""Enseñando Tecnología en Comunidad"". Modelos mentales y evaluación formativa. Tipos de Ejercicios",MetaDocencia,On-Line,15/03/2022,2022,Book Club,30,Organizer,
Datos y digitalización del sector agropecuario.,DataLatam,On-Line (Costa Rica),20/02/2022,2022,Podcast,,Speaker,
Building inclusive communities. The Latin American Experience. (Panel),AsiaR,On-Line (India),19/02/2022,2022,Panel,,Speaker,
Gaps & Opportunities for Inclusive Multilingual Data Science. (Panel),The Turing Way /The Turing Institute,On-Line (UK),11/02/2022,2022,Panel,,Speaker,
Internal R packages for Open Science in Agrometeorology,FOSDEM'22,Online (Europe),05/02/2022,2022,Regular Talk,,Speaker,
14vo Congreso Argentino de AgroInformática. ,Profesionales,INTA-SADIO. Buenos Aires,,2022,Conference,,Organizer,
Datos Masivos en Politicas Publicas,Diplomatura en Ciencia de Datos aplicadas a politicas públicas,UNAB,,2022,Course,25,Teacher,
Visualización ,Diplomatura en Ciencia de Datos aplicadas a politicas públicas,UNAB,,2022,Course,25,Teacher,
Visualización ,Diploma de datos. ,Fundación Libertad. Rosario,Octubre-Noviembre 2021,2021,Course,21,Teacher,
Ciencia de Datos para Turismo con R - Patagonia,Ministerio de Turismo,On-line (Argentina),Octubre,2021,Course,,Teacher,
Ciencia de Datos para Turismo con R - Centro,Ministerio de Turismo,On-line (Argentina),Noviembre,2021,Course,,Teacher,
Introducción a la programación con R,Diploma de datos. ,Fundación Libertad. Rosario,Marzo-Abril 2021,2021,Course,21,Teacher,
Ciencia de Datos para Turismo con R - Norte,Ministerio de Turismo,On-line (Argentina),Diciembre,2021,Course,,Teacher,
13vo Congreso Argentino de AgroInformática. ,SADIO,On-Line,. Octubre de 2021,2021,Conference,,Chair,
Ciencia de Datos aplicada al Agro.,Seminario virtual de Estadística- Big Data y Data Science.,On-Line (Colombia),13/12/2021,2021,Keynote,100,Speaker,
Panel Building RSE Communities Worldwide. RSE in Latin America and Argentina.,Research Software Engineers in HPC (RSE-HPC-2021),Online (USA),15/11/2021,2021,Panel,,Speaker,
Un conjunto de paquetes para generar tutoriales interactivos para enseñar R,LatinR 2021 <- Conferencia Latinoamericana sobre Uso de R en Investigación + Desarrollo,On-Line (Latinoamerica),12/11/2021,2021,Regular Talk,,Speaker,
MetaDocencia: Teaching How to Teach Technology together.,XI Congreso Argentino de Bioinformática y Biología Computacional 2021,Online (Argentina),11/11/2021,2021,Regular Talk,,Speaker,
Curso: From spreadsheets to R.,Software Susteanability Institute/ RS Camp: Beyond the Spreadsheet,On-line (UK),09/11/2021,2021,Course,,Teacher,
Panel discussion: Do we have the right tools for research?,Research Software Camp: Beyond the Spreadsheet- organised by the Software Sustainability Institute.,On-line (UK),5/11/2021,2021,Panel,,Speaker,
Enseñando a enseñar tecnología sin perder a nadie en el camino.,50 JAIIO - Jornadas Argentinas de Informática e Investigación Operativa,Online (Sudamérica),25/10/2021,2021,Keynote,120,Speaker,
Panel R-Ladies. Building- Growing- and Sustaining a Community.,Women in Statistics and Data Science conference,Online (USA),07/10/2021,2021,Panel,,Speaker,
Introducción al ABC para enseñar (y hacer otras cosas) on-line,SADIO,"On-line
 (Argentina)",octubre 2021,2021,Course,,Teacher,
Aplicaciones agropecuarias de la Ciencia de datos,Segundas Jornadas Regionales de Cienca de Datos,Online (Argentina),29/09/2021,2021,Invited Talk,37,Speaker,
Missing narratives in discussions around diversity and inclusion in research software engineering. Panel discusión.,SeptembRSE. Conference- on Research Software Engineering,On-Line (USA),28/09/2021,2021,Panel,,Speaker,
Datos Masivos en el sector Agropecuario,Diploma en nuevas tecnologías en el agro,Universidad de la Empresa (Uruguay),junio 2021,2021,Course,15,Teacher,
Tracking Impact and Measuring Success in Data Education Events.,csv-conf-v6.,On-line,2021,2021,Panel,,Organizer,
Presentando useR! 2021.,Reunión internacional en conjunto con R-Ladies.,On-line,2021,2021,Panel,,Organizer,
Clustering para determinar Sistemas Productivos Preponderantes,INTA,On-line,2021,2021,Invited Talk,32,Speaker,
Los Datos en el Agro. Master Class.,FieldView,On-line,2021,2021,Invited Talk,200,Speaker,
Agricultura inteligente.,NASA Harverst. Bolsa de Cereales de Buenos Aires.,On-line,2021,2021,Invited Talk,400,Speaker,
Geotecnologías aplicadas al sector agropecuario.,Diplomatura en Data Analytics para el Agro. Universidad Austral.,On-line,2021,2021,Invited Talk,56,Speaker,
Presentación REC 028- Red de Modelado de Agroecosistemas.,INTA,On-line,2021,2021,Invited Talk,23,Speaker,
Ciencia de Datos aplicada al sector agropecuario. Seminario de aplicación al ámbito público.,Maestría en Ciencia de Datos. UdeSA.,On-line,2021,2021,Invited Talk,17,Speaker,
Webinar: “La Ciencia de Datos al servicio del sector agropecuario“.,Universidad Autral.,On-line,2021,2021,Invited Talk,62,Speaker,
