Nombre,Institucion.Evento,Ciudad,Lugar,Formato,Fecha,anio,Tipo,Cantidad,Rol,Links,title_clean
Informática para niños,Liceo Informático (Realicó-La Pampa).,"Ingeniero Luiggi, La Pampa",Argentina,In person,Abril-Diciembre 1994,1993,Course,7,Teacher,,informática para niños
Sistema Operativo,Liceo Informático (Realicó-La Pampa).,"Ingeniero Luiggi, La Pampa",Argentina,In person,Agosto-Diciembre 1993,1993,Course,7,Teacher,,sistema operativo
Base de Datos,Alumnos K-12. Liceo Informático (Realicó-La Pampa).,"Ingeniero Luiggi, La Pampa",Argentina,In person,Abril-Diciembre 1994 (Ing. Luiggi),1994,Course,17,Teacher,,base de datos
Informática para niños,Liceo Informático (Realicó-La Pampa).,"Ingeniero Luiggi, La Pampa",Argentina,In person,Abril-Diciembre 1994,1994,Course,12,Teacher,,informática para niños
Intro a la computación,IBM-Banco Nación.,"Ingeniero Luiggi, La Pampa",Argentina,In person,Agosto-Septiembre,1994,Course,5,Teacher,,intro a la computación
Sistema Operativo,Liceo Informático (Realicó-La Pampa).,"Ingeniero Luiggi, La Pampa",Argentina,In person,Abril-Diciembre 1994,1994,Course,9,Teacher,,sistema operativo
2das Jornadas sobre Informática- Educación y Sociedad,Liceo Informático II,Santa Rosa,Argentina,In person,31 de Oct. 1 de Nov,1996,Conference,80,Organizer,,2das jornadas sobre informática- educación y sociedad
Actividades Plásticas (Internet),Colegio Universitario Liceo Informático II,Santa Rosa,Argentina,In person,Marzo-Diciembre,1996,Course,27,Teacher,,actividades plásticas (internet)
Actividades Prácticas (Producción Multimedial),Colegio Universitario Liceo Informático II,Santa Rosa,Argentina,In person,Marzo-Diciembre,1996,Course,27,Teacher,,actividades prácticas (producción multimedial)
Introducción a la computación para niños,C.E.D.A.N.,Santa Rosa,Argentina,In person,Mayo-Noviembre 1996,1996,Course,18,Teacher,,introducción a la computación para niños
Operador de PC,C.E.D.A.N.,Santa Rosa,Argentina,In person,Mayo-Noviembre 1996,1996,Course,15,Teacher,,operador de pc
Arquitectura y Sistemas Operativos,Carrera de Analista de Sistemas. Colegio Universitario Liceo Informático II,Santa Rosa,Argentina,In person,Agosto-Diciembre,1996,Course,100,Teacher Assistant,,arquitectura y sistemas operativos
3ras Jornadas sobre Informática- Educación y Sociedad,Liceo Informático II,Santa Rosa,Argentina,In person,30 y 31 de Octubre de 1997,1997,Conference,80,Organizer,,3ras jornadas sobre informática- educación y sociedad
