Title,Year,Type_Long,Type,Link
¿Cómo fue el 2021?,2022,Blog post,Blog post,
10 reglas para organizar un club de lectura (on-line) exitoso,2022,Blog post,Blog post,
10 reglas para organizar un Club de Lectura (on-line) exitoso (Alejandra Bellini and Yanina Noemi Bellini Saibene). LatinR 2022.,2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,https://github.com/LatinR/presentaciones-LatinR2022/blob/main/papers/LatinR2022_propuesta_2983.pdf
10 reglas para organizar un Club de Lectura (on-line) exitoso.,2022,Blog post,Blog post,
10 reglas para organizar un Club de Lectura (on-line) exitoso. - Parte II,2022,Blog post,Blog post,
300 (three hundred),2022,Blog post,Blog post,
300 (trescientos),2022,Blog post,Blog post,
A map of my readers,2022,Blog post,Blog post,
Análisis de escenarios. ¿Qué podemos hacer cuando las cosas no van tan bien en el aula?,2022,Blog post,Blog post,
"Aprendizaje on-line sincrónico, asincrónico, bicrónico",2022,Blog post,Blog post,
Building inclusive communities. The Latin American R Community,2022,Blog post,Blog post,
Cada vez que enseño aprendo algo nuevo - Greg Wilson,2022,Blog post,Blog post,
Call for Tutorials - More resources,2022,Blog post,Blog post,
Call for Tutorials - The form,2022,Blog post,Blog post,
Chat-based sprint meeting,2022,Blog post,Blog post,
Clase teórica on-line,2022,Blog post,Blog post,
Club de Lectura de Enseñar Tecnología en Comunidad,2022,Blog post,Blog post,
Como determinar cuanto cobrar,2022,Blog post,Blog post,
Cómo ganarse la vida enseñando R (Yanina Noemi Bellini Saibene and Greg Wilson) . LatinR 2022.,2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,https://github.com/LatinR/presentaciones-LatinR2022/blob/main/papers/LatinR2022_propuesta_1979.pdf
Cómo participar en rOpenSci,2022,Blog post,Blog post,
Conclusiones del primer encuentro del Club de Lectura,2022,Blog post,Blog post,
Cosas que pasaron en las aulas virtuales y como las resolvimos - Entrega 1,2022,Blog post,Blog post,
Cosas que pasaron en las aulas virtuales y como las resolvimos - Entrega 2,2022,Blog post,Blog post,
Cosas que pasaron en las aulas virtuales y como las resolvimos - Entrega 3,2022,Blog post,Blog post,
Cuarto Encuentro del Club de Lectura Enseñando Tecnología en Comunidad,2022,Blog post,Blog post,
Dándote a conocer,2022,Blog post,Blog post,
Empezando a enseñar,2022,Blog post,Blog post,
Enseñando programación,2022,Blog post,Blog post,
Gaps & Opportunities for Inclusive Multilingual Data Science,2022,Blog post,Blog post,
Haciendo revisiones con GitHub,2022,Blog post,Blog post,
How 2021 went?,2022,Blog post,Blog post,
How carpentries help me to teach to 300 students.Carpentry Con,2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,
How to Participate with rOpenSci,2022,Blog post,Blog post,
Identidad visual 2022. Renovarnos con la misma esencia,2022,Blog post,Blog post,
"Internal R packages for Open Science in Agrometeorology.Yanina Bellini Saibene, Natalia Gattinoni, Paola Corrales, Elio Campitelli y Gabriel Rodriguez. FOSDEM 2022.",2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,
"Introducing rOpenSci new Community Manager, Yanina Bellini Saibene",2022,Blog post,Blog post,
La Guía del Viajero al Aprendizaje Automático Responsable,2022,Translations,Translations,https://yabellini.netlify.app/project/rml_es/
Leyendo muchos archivos markdown de varias carpetas y extrayendo datos de su YAML,2022,Blog post,Blog post,
"Mapas conceptuales, una herramienta de múltiples formas y usos",2022,Blog post,Blog post,
"MetaDocencia: enseñando a enseñar estadística y ciencia de datos online : Laura Ación, Yanina Bellini Saibene, Mine Dogucu, Nicolas Palopoli, Elio Campitelli, Paola Corrales, Patricia Loto",2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,http://iase-web.org/icots/11/proceedings/pdfs/ICOTS11_285_ACIN.pdf?1669865550
Metadocencia. Nurturing educators in Spanish-speaking research communities,2022,Blog post,Blog post,
MiR Community Highlights. Yanina Bellini Saibene.,2022,Blog post,Blog post,
Notas adhesivas cuando enseñas (on-line),2022,Blog post,Blog post,
Organizando una clase práctica online,2022,Blog post,Blog post,
Organizing a practical class online,2022,Blog post,Blog post,
