Title,Year,Type_Long,Type,Link,En_mi_web,title_clean
"Internet. La red de redes. Bellini Saibene, Y.; Vega, J.; Muñoz, V.; Bruno, V. Cuartas Jornadas sobre Informática, Educación y Sociedad. 31 de Octubre y 1 de Noviembre de 1998. Colegio Universitario Liceo Informático II, Santa Rosa (LP)",1998,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,"internet. la red de redes. bellini saibene, y.; vega, j.; muñoz, v.; bruno, v. cuartas jornadas sobre informática, educación y sociedad. 31 de octubre y 1 de noviembre de 1998. colegio universitario liceo informático ii, santa rosa (lp)"
"Evaluación del Área Anegada del Noreste de La Pampa Mediante Teledetección. Sipowicz, A.; Roberto, Z.; Casagrande, G.; Lorda, H. O.; Gomez Hermida, V.; Bellini Saibene, Y. y Sarasola, J. A. Actas de las VII Jornadas Pampeanas de Ciencias Naturales, Consejo Profesional de Ciencias Naturales de La Pampa y Facultad de Ciencias Exactas y Naturales, UNLPam. 1 al 3 de Diciembre de 1999. Santa Rosa.",1999,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,"evaluación del área anegada del noreste de la pampa mediante teledetección. sipowicz, a.; roberto, z.; casagrande, g.; lorda, h. o.; gomez hermida, v.; bellini saibene, y. y sarasola, j. a. actas de las vii jornadas pampeanas de ciencias naturales, consejo profesional de ciencias naturales de la pampa y facultad de ciencias exactas y naturales, unlpam. 1 al 3 de diciembre de 1999. santa rosa."
"Evaluación del Área Anegada del Noreste de La Pampa. Sipowicz, A.; Roberto, Z.; Casagrande, G.; Lorda, H. O.; Gomez Hermida, V.; Bellini Saibene, Y. y Sarasola, J. A. La Reforma. Mayo 1999.",1999,Popular science articles,Popular science articles,,,"evaluación del área anegada del noreste de la pampa. sipowicz, a.; roberto, z.; casagrande, g.; lorda, h. o.; gomez hermida, v.; bellini saibene, y. y sarasola, j. a. la reforma. mayo 1999."
"Inundaciones el Noreste de la Provincia de La Pampa. Lorda, H.O., Roberto, Z.; Casagrande, G.; Gomez Hermida, V.; Bellini Saibene, Y. La Arena del Campo. Diario La Arena, Santa Rosa, La Pampa. Mayo. 1999.",1999,Popular science articles,Popular science articles,,,"inundaciones el noreste de la provincia de la pampa. lorda, h.o., roberto, z.; casagrande, g.; gomez hermida, v.; bellini saibene, y. la arena del campo. diario la arena, santa rosa, la pampa. mayo. 1999."
Aplicación de un Sistema de Información Geográfico aplicado al Agro. Sipowicz A.; Lorda H.O.; Bellini Saibene Y.; Lucchetti P. AgroInformática 2000. 8 al 10 de Diciembre. La Dulce. Buenos Aires.,2000,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,aplicación de un sistema de información geográfico aplicado al agro. sipowicz a.; lorda h.o.; bellini saibene y.; lucchetti p. agroinformática 2000. 8 al 10 de diciembre. la dulce. buenos aires.
Clasificación Supervisada de Imágenes Satelitales. Sipowicz A.; Lorda H.O.; Bellini Saibene Y.; Lucchetti P. AgroInformática 2000. 8 al 10 de Diciembre. La Dulce. Buenos Aires.,2000,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,clasificación supervisada de imágenes satelitales. sipowicz a.; lorda h.o.; bellini saibene y.; lucchetti p. agroinformática 2000. 8 al 10 de diciembre. la dulce. buenos aires.
"Estimación de Intención de Siembra de Trigo Campaña 00/01. Lorda, H.; Bellini Saibene, Y. La Arena del Campo. Diario La Arena, Santa Rosa, La Pampa. 16 de Septiembre de 2000.",2000,Popular science articles,Popular science articles,,,"estimación de intención de siembra de trigo campaña 00/01. lorda, h.; bellini saibene, y. la arena del campo. diario la arena, santa rosa, la pampa. 16 de septiembre de 2000."
"Informe “Evaluación de Pérdidas Económicas por Efecto de las Inundaciones en el Norte de la Provincia de La Pampa”, Bellini Saibene Y.; Casagrande, G.; Caviglia, J.; Colazo, R.; Lorda, H.;Roberto, Z.; Sipowicz, A. Abril 2000.",2000,Journals,Journals,,,"informe “evaluación de pérdidas económicas por efecto de las inundaciones en el norte de la provincia de la pampa”, bellini saibene y.; casagrande, g.; caviglia, j.; colazo, r.; lorda, h.;roberto, z.; sipowicz, a. abril 2000."
"Inundaciones y Teledetección. Roberto, Z.; Casagrande, G.; Bellini Saibene, Y.; Lorda, H.O.; Sipowicz, A.. Boletín AgroRADAR N1 5. Octubre 2000",2000,Articulo de Divulgación,Popular science articles,,,"inundaciones y teledetección. roberto, z.; casagrande, g.; bellini saibene, y.; lorda, h.o.; sipowicz, a.. boletín agroradar n1 5. octubre 2000"
Manejo de Información Agroeconómica utilizando Base de Datos. Sipowicz A.; Lorda H.O.; Bellini Saibene Y.; Lucchetti P. AgroInformática 2000. 8 al 10 de Diciembre. La Dulce. Buenos Aires.,2000,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,manejo de información agroeconómica utilizando base de datos. sipowicz a.; lorda h.o.; bellini saibene y.; lucchetti p. agroinformática 2000. 8 al 10 de diciembre. la dulce. buenos aires.
"Producción de Girasol Campaña 99/00. Sipowicz, A., Lorda, H.; Bellini Saibene, Y. La Arena del Campo. Diario La Arena, Santa Rosa, La Pampa. 18 de marzo de 2000.",2000,Popular science articles,Popular science articles,,,"producción de girasol campaña 99/00. sipowicz, a., lorda, h.; bellini saibene, y. la arena del campo. diario la arena, santa rosa, la pampa. 18 de marzo de 2000."
Red Agroeconómica de Administración de Recursos. R.A.D.A.R. Sipowicz A.; Lorda H.O.; Bellini Saibene Y.; Lucchetti P. AgroInformática 2000. 8 al 10 de Diciembre. La Dulce. Buenos Aires.,2000,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,red agroeconómica de administración de recursos. r.a.d.a.r. sipowicz a.; lorda h.o.; bellini saibene y.; lucchetti p. agroinformática 2000. 8 al 10 de diciembre. la dulce. buenos aires.
"Resultados de la Encuesta Agrícola 1999. I. Región Pampeana del Proyecto RADAR. Lorda, H.; Bellini Saibene, Y.; Sipowicz, A.; Colazo, R.; Roberto, Z.; Sarasola, J.; Lucchetti, P. Boletín de divulgación Técnica Nº 1. Marzo 2000. 50 pp. Ediciones AgroRADAR.",2000,Journals,Journals,,,"resultados de la encuesta agrícola 1999. i. región pampeana del proyecto radar. lorda, h.; bellini saibene, y.; sipowicz, a.; colazo, r.; roberto, z.; sarasola, j.; lucchetti, p. boletín de divulgación técnica nº 1. marzo 2000. 50 pp. ediciones agroradar."
"Zona I. Provincia de La Pampa. Lorda, H; Bellini Saibene Y. Agro RADAR Boletín Informativo Nº 2. ISSN: 1666 - 6852. Pp. 1-2. Septiembre 2000.",2000,Popular science articles,Popular science articles,,,"zona i. provincia de la pampa. lorda, h; bellini saibene y. agro radar boletín informativo nº 2. issn: 1666 - 6852. pp. 1-2. septiembre 2000."
"Zona II. Provincia de La Pampa. Lorda, H; Bellini Saibene Y. Agro RADAR Boletín Informativo Nº 3. ISSN: 1666 - 6852. Pp. 1-2. Octubre 2000.",2000,Popular science articles,Popular science articles,,,"zona ii. provincia de la pampa. lorda, h; bellini saibene y. agro radar boletín informativo nº 3. issn: 1666 - 6852. pp. 1-2. octubre 2000."
"Zona III. Provincia de La Pampa. Lorda, H; Bellini Saibene Y. Agro RADAR Boletín Informativo Nº 4. ISSN: 1666 - 6852. Pp. 1-2. Noviembre 2000.",2000,Popular science articles,Popular science articles,,,"zona iii. provincia de la pampa. lorda, h; bellini saibene y. agro radar boletín informativo nº 4. issn: 1666 - 6852. pp. 1-2. noviembre 2000."
"Zona IV. Provincia de La Pampa. Lorda, H; Bellini Saibene Y. Agro RADAR Boletín Informativo Nº 5. ISSN: 1666 - 6852. Pp. 1-2. Diciembre 2000.",2000,Popular science articles,Popular science articles,,,"zona iv. provincia de la pampa. lorda, h; bellini saibene y. agro radar boletín informativo nº 5. issn: 1666 - 6852. pp. 1-2. diciembre 2000."
