"Nombre","Institucion.Evento","Ciudad","Lugar","Formato","Fecha","anio","Tipo","Cantidad","Rol","Links"
"Club de Lectura de Enseñar Tecnología en Comunidad",,,,,"May 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/blog/2022_metadocencia_club_lectura_t3/10-bookclubt3/"
"How 2021 went?",,,,,"January 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/blog/2021_how2021went_en/"
"On programming, teaching, and building interactive tutorials with learnr",,,,"Online","January 2021",2021,"Talk",,"Speaker","https://resources.rstudio.com/resources/rstudioglobal-2021/on-programming-teaching-and-building-interactive-tutorials-with-learnr/"
"Aprendiendo {learnr} - Tutoriales interactivos ",,,,,"January 2021",2021,"Talk",,"Speaker","https://learning-learnr.netlify.app/"
"rOpenSci, infraestructura para una ciencia abierta en Agrometeorología",,,,,"September 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/talk/keynote_rada_2022/"
"Towards More Equitable Open Science Events: Assessing Tools, Techniques, and Frameworks for Inclusion/Exclusions",,,,"Online","August 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/talk/css_2022/"
"Geotecnologías, BigData, Aprendizaje automático y emergencias agropecuarias",,,,,"July 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/talk/seminarioaplicacionespublicas_2022/"
"GitHub Stars Latin American Panel",,,,,"September 2022",2022,"Talk",,"Speaker","https://sessionize.com/octogatosconf22"
"[Open Course] Intro al sensoramiento Remoto utilizando R aplicado al agro",,,,,"September 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/courses/agri_remote_sensing/"
"10 reglas para organizar un Club de Lectura (on-line) exitoso",,,,,"October 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/talk/latinr_2022_book_club/"
"Datos y digitalización del sector agropecuario",,,,,"February 2022",2022,"Talk",,"Speaker","https://youtu.be/JUBySmXqwc4"
"Gaps & Opportunities for Inclusive Multilingual Data Science",,,,,"February 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/talk/ttw_firechat_2022/"
"Building inclusive communities",,,,,"February 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/talk/asiar_2022/"
"Generando tutoriales interactivos con el paquete {learnr}",,,,,"April 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/courses/tutorialesinteractivos_intro/"
"Enabling Inclusive Research Conferencing in the ‘Post-Pandemic Era’",,,,,"April 2022",2022,"Talk",,"Speaker","https://pad.sfconservancy.org/p/ttw-fireside-chat-apr2022"
"The Carpentries - Instructor Training",,,,,"March 2022",2022,"Event Organization",,"Organizer","https://yabellini.github.io/2022-05-10-ttt-online-spanish/"
"Taller learnr - R-Ladies BA",,,,,"March 2022",2022,"Talk",,"Speaker","https://yabellini.netlify.app/courses/tutorialesinteractivos_intro/"
"Desde las hojas de cálculo a R",,,,,"May 2022",2022,"Talk",,"Speaker","https://www.youtube.com/watch?v=qOpXUo6epr0"
"Bueno, bonito y barato: reportes reproducibles con Rmarkdown",,,,,"May 2022",2022,"Talk",,"Speaker","https://t.co/rF9rdTN0GB"
"useR! Conference 2022 ",,,,"Online","June 2022",2022,"Event Organization",,"Organizer","https://user2022.r-project.org/"
