"Title","Year","Type_Long","Type","Link","En_mi_web"
"Cómo vivir de la enseñanza - Empezando a enseñar",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/page/4/",""
"Cómo vivir de la enseñanza - Dandote a conocer",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022_teaching-getting-paid_es/03-teaching-getting-paid/",""
"Cómo vivir de la enseñanza - Como determinar cuanto cobrar",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022_teaching-getting-paid_es/02-teaching-getting-paid/",""
"Experiences teaching on-line - Organizing a practical class online",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022_teaching_en/02-teaching/",""
"Experiencias enseñando on-line - Organizando una clase práctica online",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022_teaching_es/02-teaching/",""
"Experiencias enseñando on-line - trecientos",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022_teaching_es/01-teaching/",""
"Metadocencia: Nurturing educators in Spanish-speaking research communities",2022,"Blog Post","Blog","https://www.software.ac.uk/blog/2022-05-17-metadocencia-nurturing-educators-spanish-speaking-research-communities",""
"Experiences teaching on-line - 300 (three hundred)",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022_teaching_en/01-teaching/",""
"MiR Community Highlight: Yanina Noemí Bellini Saibene",2022,"Blog Post","Blog","https://mircommunity.com/blog/mir-community-highlight-yanina-noem%C3%AD-bellini-saibene/",""
"My participation at Gaps & Opportunities for Inclusive Multilingual Data Science",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022_ttw_translations/",""
"[Open Course] From Spreadsheets to R",2022,"Open Source Project","Software","https://yabellini.netlify.app/courses/fromspreadsheettor/",""
"[Open Course] - Ciencia de Datos para el Turismo",2022,"Open Source Project","Software","https://yabellini.netlify.app/courses/cd_turismo_2021/",""
"[Open Course] Introduction to interactive tutorials",2022,"Open Source Project","Software","https://yabellini.netlify.app/courses/interactive_tutorials_intro/",""
"[Open Course] - Version Control. Primeros pasos de Git con GitHub y R",2022,"Open Source Project","Software","https://yabellini.netlify.app/courses/git_rstudio_course/",""
"[Open Course] How to teach programming online",2022,"Open Source Project","Software","https://yabellini.netlify.app/courses/teach_programming/",""
"[Open Course] - Introducción al ABC para enseñar (y hacer otras cosas) online",2022,"Open Source Project","Software","https://yabellini.netlify.app/courses/introalabc_corto/",""
"[Open Course]-Introduction to online teaching essentials",2022,"Open Source Project","Software","https://yabellini.netlify.app/courses/intro-abc-online/",""
"Ten simple rules to host an inclusive conference",2022,"Article","Article","https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1010164#sec006",""
"useR! Knowledgebase",2021,"Open Source Project","Software","https://rconf.gitlab.io/userknowledgebase/main/index.html",""
"Champions Program — A mentoring & training program for Scientific Open Source Champions",2022,"Open Source Project","Software","https://ropensci.org/champions/",""
